1	1511889411330277486
2	1511893889902972928
3	1511903924947255397
4	1511904628281708624
5	1511912808709619875
6	1511913143260155945
7	1511913151026006913
8	1511914151080104088
9	1511915213455102123
10	1511915248670735536
11	1511928849208705137
12	1511928854527213628
13	1511928867777213628
14	1511928876673289791
15	1511928936613937183
16	1511928940103598122
17	1511939806156816404
18	1511939808346318310
19	1511939883780648648
20	1511939885714509945
21	1511940885930184786
22	1511941025618103103
23	1511942240191381605
24	1511990569617064026
25	1511990584406179860
26	1511990588021407765
27	1511990891475374122
28	1511990916100300300
29	1512026149931450469
30	1512026153433698414
31	1512027992602181632
32	1512027994179506237
33	1512028013666242580
34	1512028351705864366
35	1512028354784611611
36	1512028392369552
37	1512049287742361631
38	1512051769231015936
39	1512071013255479316
40	1512071623517318318
41	1512110673583280228
42	1512111404913078078
43	1512118037213450450
44	1512129592025022485
45	1512135312199909547
46	1512137491082379337
47	1512137568810959070
48	1512144883869106106
49	1512145450092265265
50	1512149023916556409
51	1516864609389252820
52	1516795019527323799
53	1516085357157027992
54	1512151308226729529
55	1512155280555901108
56	1512155294409687224
57	1512163923237802035
58	1512165323518271271
59	1512165327465877765
60	1512165510983593593
61	1512165895680354354
62	1512165899438919740
63	1512170573390938243
64	1512170576549023023
65	1512173220189222222
66	1512173223687809809
67	1512173248111192
68	1512177008660971640
69	1512208532223693033
70	1512208584543396096
71	1512208640411646210
72	1512209072563307307
73	1512212085910454454
74	1512215451654654654
75	1512228457008988370
76	1512228853244755999
77	1512229098330907907
78	1512230163042523523
79	1512230172705047789
80	1512230285390118913
81	1512230312090118134
82	1512230481217978569
83	1512230816468697098
84	1512230851579199999
85	1512230860466819182
86	1512231656734462102
87	1512231670344462367
88	1512236727522033825
89	1512243133839179907
90	1512243139254157394
91	1512243476509261261
92	1512243480187895848
93	1512243918518097897
94	1512244079450450450
95	1512251200429359234
96	1512251203919155332
97	1512257681736339526
98	1512257683468687038
99	1512259306790064158
100	1512264388474976976
101	1512279173220274256
102	1512280430303510548
103	1512287396622893206
104	1512287486683626626
105	1512287497151546546
106	1512287528666242580
107	1512299215877963906
108	1512299406244958592
109	1512299434002878465
110	1512300682303111239
111	1512300956891234234
112	1512302622437146634
113	1512302624152485999
114	1512307326747561614
115	1512310061299859856
116	1512310137736736024
117	1512310632760978978
118	1512310634623270992
119	1512321930483728454
120	1512321932119244880
121	1512325877818473473
122	1512325879362097432
123	1512325930461302874
124	1512325933871261961
125	1512326028394083083
126	1512332130674544770
127	1512332243639742216
128	1512332248765692
129	1512335417985393393
130	1512335424046108724
131	1512338958326737
132	1512338961215914005
133	1512339873846001715
134	1512339875347566652
135	1512343693825409074
136	1512359005916233790
137	1512359007849938956
138	1512360124067611611
139	1512360292988898898
140	1512361041038161162
141	1512361106910477377
142	1512361163298597163
143	1512361180763280280
144	1512366080171970561
145	1512366285230265285
146	1512366380295405405
147	1512444747736944743
148	1512448423318650991
149	1512448862583630630
150	1512455240157232232
151	1512457145902432386
152	1512457886805131274
153	1512471892819443742
154	1512480083042891891
155	1512485842046816418
156	1512486298625125
157	1512486332511810810
158	1512486691510681773
159	1512486765213253692
160	1512487785800400956
161	1512491522052853891
162	1512506406891295032
163	1512524523990159500
164	1512524596841021621
165	1512524781218562171
166	1512524882615865495
167	1512524924248865920
168	1512524924248920920
169	1512524985778962655
170	1512525264859202202
171	1512525264859566202
172	1512528685792497725
173	1512528727311913173
174	1512528777064742963
175	1512528777064963963
176	1512530471823868126
177	1512530648487692692
178	1512530648487956692
179	1512541820834549973
180	1512541879030517880
181	1512541998154626601
182	1512541998194626601
183	1512542233608327381
184	1512542233608381381
185	1512542305012154438
186	1512542305012438438
187	1512560755344412863
188	1512687993574526977
189	1512687995130609795
190	1512688062373460460
191	1512688062373560460
192	1512711141329997904
193	1512711142609387572
194	1512711578016022588
195	1512711578016088588
196	1512711579450347560
197	1512711579450357360
198	1512712174752104580
199	1512732192852414615
200	1512734523274694766
201	1512734523274766766
202	1512765954726170667
203	1512772367599009842
204	1512772367599042842
205	1512772369188651181
206	1512772369188681181
207	1512798887767781781
208	1512798887767838781
209	1512801603516764180
210	1512801603764180180
211	1512820386742665378
212	1512824559517040771
213	1512825806315982908
214	1512825806928905
215	1512825807985080803
216	1512825807985180803
217	1512825863065042954
218	1512825864994422894
219	1512825909961298202
220	1512825911547007076
221	1512825980765470812
222	1512825982397190184
223	1512825982397290184
224	1512826046011892875
225	1512826046011932875
226	1512826049900318860
227	1512826106070302821
228	1512826106070321321
229	1512826131164562562
230	1512826131164823562
231	1512826376661499976
232	1512826376661999976
233	1512827304215187476
234	1512842563617558700
235	1512861546387210240
236	1512861708071708042
237	1512863553491827827
238	1512864039922044044
239	1512864622418751751
240	1512864703364272272
241	1512870968198955219
242	1512882350093111417
243	1512883987442442162
244	1512886083577273473
245	1512888277932779793
246	1512890125523708708
247	1512890678311391322
248	1512890679779659807
249	1512891721229306306
250	1512892037911090180
251	1512892526590344344
252	1512893329212182630
253	1512901935412285500
254	1512905123796615198
255	1512905729818729408
256	1512921392692199494
257	1512944478007070900
258	1512945192016548548
259	1512954219223744744
260	1512954563775570570
261	1512977811118629629
262	1512982195482014014
263	1512982220418314314
264	1512982252022169169
265	1512982327377815815
266	1512982346595496496
267	1512982669334456456
268	1512982684610834870
269	1512984504749061061
270	1512990729675919919
271	1512998020701225161
272	1512998080701741741
273	1513008535641002096
274	1513044702826336427
275	1513046524370616460
276	1513046782442075475
277	1513046782442082475
278	1513047299180335114
279	1513047338694742087
280	1513047440993943584
281	1513048424902295603
282	1513061977344180325
283	1513063196783804587
284	1513063198016798761
285	1513083095343759380
286	1513111570228711424
287	1513123438535901294
288	1513140745643626627
289	1513140747077943436
290	1513153193373208586
291	1513153262134759507
292	1513154258634276995
293	1513156420609249311
294	1513156531799966186
295	1513156531799986186
296	1513156536741138483
297	1513156536741483483
298	1513156587290406406
299	1513156825996857384
300	1513156878354280280
301	1513157048559341780
302	1513157099218276382
303	1513157116683289289
304	1513157195213049877
305	1513157222958366853
306	1513157264695889920
307	1513157329133109280
308	1513157345725775892
309	1513160609305464842
310	1513160639265248248
311	1513160696303450450
312	1513162345222766772
313	1513162348230217780
314	1513162348230780780
315	1513172631392751697
316	1513177919990792212
317	1513181921235540540
318	1513182331562434434
319	1513182356985260260
320	1513188368891117638
321	1513192261314285720
322	1513192261314720720
323	1513192394256117117
324	1513192394256941117
325	1513200374427685105
